Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,20,Robin Schoew,110550 | ZAC A (30/06) - 19:30:00,1:10:12.263,0.000,38,1:38.835,38,49.282 km/h
2,6,Teun Berkhout,110550 | ZAC A (30/06) - 19:30:00,1:10:12.477,0.214,38,1:39.239,38,49.082 km/h
3,18,Robbert Schaap,110550 | ZAC A (30/06) - 19:30:00,1:10:12.820,0.557,38,1:39.572,38,48.917 km/h
4,37,Julian Kerklaan,110550 | ZAC A (30/06) - 19:30:00,1:10:12.944,0.681,38,1:38.985,38,49.207 km/h
5,114,Mees Bovelander,110550 | ZAC A (30/06) - 19:30:00,1:10:13.095,0.832,38,1:39.810,38,48.801 km/h
6,40,Kees Pameijer,110550 | ZAC A (30/06) - 19:30:00,1:10:13.135,0.872,38,1:40.200,38,48.611 km/h
7,23,Joost te Braake,110550 | ZAC A (30/06) - 19:30:00,1:10:13.333,1.070,38,1:40.415,38,48.507 km/h
8,115,Mike van Nunspeet,110550 | ZAC A (30/06) - 19:30:00,1:10:13.558,1.295,38,1:40.428,38,48.500 km/h
9,12,David van Aalst,110550 | ZAC A (30/06) - 19:30:00,1:10:14.039,1.776,38,1:41.305,38,48.081 km/h
10,50,Siem Woldesilassie,110550 | ZAC A (30/06) - 19:30:00,1:10:14.162,1.899,38,1:40.554,38,48.440 km/h
11,27,Jianhao Wu,110550 | ZAC A (30/06) - 19:30:00,1:10:14.586,2.323,38,1:41.178,38,48.141 km/h
12,57,Teun Wissema,110550 | ZAC A (30/06) - 19:30:00,1:10:14.752,2.489,38,1:42.028,38,47.740 km/h
13,2,Dennis van der Velden,110550 | ZAC A (30/06) - 19:30:00,1:10:14.801,2.538,38,1:42.709,30,47.423 km/h
14,17,Juul Hubert,110550 | ZAC A (30/06) - 19:30:00,1:10:15.094,2.831,38,1:41.187,38,48.137 km/h
15,58,Johan Olsthoorn,110550 | ZAC A (30/06) - 19:30:00,1:10:15.400,3.137,38,1:42.320,38,47.604 km/h
16,32,Martijn Coeveld,110550 | ZAC A (30/06) - 19:30:00,1:10:15.624,3.361,38,1:43.049,38,47.267 km/h
17,8,Jasper Hupkes,110550 | ZAC A (30/06) - 19:30:00,1:10:15.661,3.398,38,1:41.900,38,47.800 km/h
18,43,Ronald Geleynse,110550 | ZAC A (30/06) - 19:30:00,1:10:16.190,3.927,38,1:42.407,38,47.563 km/h
19,28,Jan Gudde,110550 | ZAC A (30/06) - 19:30:00,1:10:16.366,4.103,38,1:42.501,38,47.520 km/h
20,24,Joost Slingerland,110550 | ZAC A (30/06) - 19:30:00,1:10:16.701,4.438,38,1:43.080,38,47.253 km/h
21,52,Rik Bisschop,110550 | ZAC A (30/06) - 19:30:00,1:10:16.875,4.612,38,1:42.678,38,47.438 km/h
22,45,Alexander van den Berg van Saparoea,110550 | ZAC A (30/06) - 19:30:00,1:10:18.125,5.862,38,1:43.824,38,46.914 km/h
23,29,Richard Schouten,110550 | ZAC A (30/06) - 19:30:00,1:10:18.595,6.332,38,1:44.083,16,46.797 km/h
24,22,Jaco de Hoog,110550 | ZAC A (30/06) - 19:30:00,1:10:18.885,6.622,38,1:44.194,16,46.747 km/h
25,88,John Zwinkels,110550 | ZAC A (30/06) - 19:30:00,1:10:19.066,6.803,38,1:44.240,16,46.727 km/h
26,21,Erik de Niet,110550 | ZAC A (30/06) - 19:30:00,1:10:41.601,29.338,38,1:44.357,16,46.674 km/h
27,999,Roan Kerklaan,110550 | ZAC A (30/06) - 19:30:00,1:8:33.962,1 lap,37,1:42.598,16,47.475 km/h
28,59,Milan de Vreede,110550 | ZAC A (30/06) - 19:30:00,1:1:40.141,6 laps,32,1:45.123,9,46.334 km/h
29,107,Ricardo Hillegers,110579 | ZAC B (30/06) - 19:31:00,1:1:39.763,7 laps,31,1:44.226,5,46.733 km/h
30,2,Oskar Loman,110579 | ZAC B (30/06) - 19:31:00,1:1:40.018,7 laps,31,1:44.919,31,46.424 km/h
31,45,Joost van Giesen,110579 | ZAC B (30/06) - 19:31:00,1:1:40.228,7 laps,31,1:45.299,27,46.257 km/h
32,8,Jan Kwakkel,110579 | ZAC B (30/06) - 19:31:00,1:1:40.238,7 laps,31,1:45.438,31,46.196 km/h
33,17,Olen Olsthoorn,110579 | ZAC B (30/06) - 19:31:00,1:1:40.349,7 laps,31,1:45.613,31,46.119 km/h
34,7,Sijmen Kwakkel,110579 | ZAC B (30/06) - 19:31:00,1:1:40.421,7 laps,31,1:46.154,31,45.884 km/h
35,51,Eric Weber,110579 | ZAC B (30/06) - 19:31:00,1:1:40.719,7 laps,31,1:45.298,31,46.257 km/h
36,19,Tijme Aleman,110579 | ZAC B (30/06) - 19:31:00,1:1:40.767,7 laps,31,1:44.992,31,46.392 km/h
37,148,Kees Jan Bongaertz,110579 | ZAC B (30/06) - 19:31:00,1:1:40.774,7 laps,31,1:45.781,31,46.046 km/h
38,4,Bram van der Velden,110579 | ZAC B (30/06) - 19:31:00,1:1:40.818,7 laps,31,1:46.039,28,45.934 km/h
39,24,Ole Olsthoorn,110579 | ZAC B (30/06) - 19:31:00,1:1:41.029,7 laps,31,1:45.903,5,45.993 km/h
40,26,Erik Mooij,110579 | ZAC B (30/06) - 19:31:00,1:1:41.671,7 laps,31,1:46.405,31,45.776 km/h
41,57,Djurre Aleman,110579 | ZAC B (30/06) - 19:31:00,1:1:42.475,7 laps,31,1:47.014,5,45.516 km/h
42,23,Marc Semmeling,110579 | ZAC B (30/06) - 19:31:00,1:1:42.969,7 laps,31,1:47.432,31,45.338 km/h
43,62,Harmen Land,110579 | ZAC B (30/06) - 19:31:00,1:1:43.257,7 laps,31,1:46.625,31,45.682 km/h
44,67,Linda Kuiper,110579 | ZAC B (30/06) - 19:31:00,1:1:43.258,7 laps,31,1:47.870,31,45.154 km/h
45,142,Billy Vreugdenhil,110579 | ZAC B (30/06) - 19:31:00,1:1:43.282,7 laps,31,1:47.710,5,45.221 km/h
46,76,Hans Kruithof,110579 | ZAC B (30/06) - 19:31:00,1:1:43.683,7 laps,31,1:47.267,31,45.408 km/h
47,53,Floor Sigmond,110579 | ZAC B (30/06) - 19:31:00,1:1:43.880,7 laps,31,1:48.286,31,44.981 km/h
48,66,Henk Scholte Albers,110579 | ZAC B (30/06) - 19:31:00,1:1:44.294,7 laps,31,1:48.343,31,44.957 km/h
49,101,John van Etten,110579 | ZAC B (30/06) - 19:31:00,1:1:45.621,7 laps,31,1:48.351,28,44.954 km/h
50,18,Ot Kuiper,110579 | ZAC B (30/06) - 19:31:00,1:1:45.986,7 laps,31,1:48.783,28,44.775 km/h
51,141,Iker Slotboom,110579 | ZAC B (30/06) - 19:31:00,1:1:57.005,7 laps,31,1:46.127,27,45.896 km/h
52,63,Izzy Kreuk,110579 | ZAC B (30/06) - 19:31:00,1:1:30.878,8 laps,30,1:50.166,16,44.213 km/h
53,3,Tim van der Velden,110550 | ZAC A (30/06) - 19:30:00,1:10:12.395,9 laps,29,1:39.322,29,49.040 km/h
54,39,René Ammerlaan,110579 | ZAC B (30/06) - 19:31:00,56:53.528,11 laps,27,1:49.633,13,44.428 km/h
55,52,Nienke Bennis,110579 | ZAC B (30/06) - 19:31:00,37:3.328,21 laps,17,1:50.638,5,44.025 km/h
56,46,Saar Mooij,110579 | ZAC B (30/06) - 19:31:00,37:50.969,21 laps,17,1:50.095,13,44.242 km/h
57,6,Bram Berkhout,110579 | ZAC B (30/06) - 19:31:00,15:46.442,31 laps,7,1:49.797,5,44.362 km/h
58,1,Guido Smit,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
59,4,Marc Plönes,110550 | ZAC A (30/06) - 19:30:00,0.000,0.000,-,0.000,-,-
