Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,50,Siem Woldesilassie,110554 | ZAC A (28/07) - 19:30:00,1:16:34.292,0.000,41,1:41.014,41,48.219 km/h
2,18,Robbert Schaap,110554 | ZAC A (28/07) - 19:30:00,1:16:34.749,0.457,41,1:41.486,41,47.995 km/h
3,17,Juul Hubert,110554 | ZAC A (28/07) - 19:30:00,1:16:35.324,1.032,41,1:41.248,41,48.108 km/h
4,28,Jan Gudde,110554 | ZAC A (28/07) - 19:30:00,1:16:36.152,1.860,41,1:42.692,41,47.431 km/h
5,21,Erik de Niet,110554 | ZAC A (28/07) - 19:30:00,1:16:36.820,2.528,41,1:46.056,25,45.927 km/h
6,1,Guido Smit,110554 | ZAC A (28/07) - 19:30:00,1:16:36.971,2.679,41,1:43.880,41,46.889 km/h
7,43,Ronald Geleynse,110554 | ZAC A (28/07) - 19:30:00,1:16:39.368,5.076,41,1:46.037,36,45.935 km/h
8,47,Arjen Koene,110554 | ZAC A (28/07) - 19:30:00,1:16:39.723,5.431,41,1:45.280,31,46.265 km/h
9,4,Marc Plönes,110554 | ZAC A (28/07) - 19:30:00,1:16:39.763,5.471,41,1:45.692,41,46.085 km/h
10,5,Rob uit de Bosch,110554 | ZAC A (28/07) - 19:30:00,1:16:40.249,5.957,41,1:44.709,31,46.517 km/h
11,94,Casper Veltenaar,110554 | ZAC A (28/07) - 19:30:00,1:16:41.213,6.921,41,1:45.385,31,46.219 km/h
12,,Robin Oosterhoff,110554 | ZAC A (28/07) - 19:30:00,1:6:46.704,8 laps,33,1:49.591,10,44.445 km/h
13,146,Marc Kramer,110583 | ZAC B (28/07) - 19:31:00,1:2:47.783,10 laps,31,1:42.014,31,47.746 km/h
14,161,Jurgen van der Welle,110583 | ZAC B (28/07) - 19:31:00,1:2:49.469,10 laps,31,1:42.764,31,47.398 km/h
15,17,Olen Olsthoorn,110583 | ZAC B (28/07) - 19:31:00,1:2:49.869,10 laps,31,1:46.133,31,45.893 km/h
16,60,Ricardo Jansen,110583 | ZAC B (28/07) - 19:31:00,1:2:50.190,10 laps,31,1:44.189,31,46.750 km/h
17,11,Thomas Vobl,110583 | ZAC B (28/07) - 19:31:00,1:2:50.315,10 laps,31,1:44.802,31,46.476 km/h
18,45,Joost van Giesen,110583 | ZAC B (28/07) - 19:31:00,1:2:50.381,10 laps,31,1:42.988,31,47.295 km/h
19,58,Bart Vons,110583 | ZAC B (28/07) - 19:31:00,1:2:50.432,10 laps,31,1:43.538,31,47.044 km/h
20,19,Tijme Aleman,110583 | ZAC B (28/07) - 19:31:00,1:2:50.478,10 laps,31,1:45.139,31,46.327 km/h
21,122,Pip Ypenburg,110583 | ZAC B (28/07) - 19:31:00,1:2:55.774,10 laps,31,1:47.261,31,45.411 km/h
22,84,Robin Hendriks,110583 | ZAC B (28/07) - 19:31:00,1:2:56.601,10 laps,31,1:47.410,31,45.348 km/h
23,177,Mayra Cöp,110583 | ZAC B (28/07) - 19:31:00,1:2:56.840,10 laps,31,1:48.120,31,45.050 km/h
24,76,Hans Kruithof,110583 | ZAC B (28/07) - 19:31:00,1:2:58.593,10 laps,31,1:49.181,31,44.612 km/h
25,57,Djurre Aleman,110583 | ZAC B (28/07) - 19:31:00,1:2:59.820,10 laps,31,1:50.557,8,44.057 km/h
26,88,Mette Houwaard,110583 | ZAC B (28/07) - 19:31:00,1:2:59.985,10 laps,31,1:50.875,8,43.931 km/h
27,21,Arco Flikweert,110583 | ZAC B (28/07) - 19:31:00,1:3:0.117,10 laps,31,1:49.262,8,44.579 km/h
28,86,Rob Vollebregt,110583 | ZAC B (28/07) - 19:31:00,1:3:1.148,10 laps,31,1:48.058,8,45.076 km/h
29,61,Rémy van Es,110583 | ZAC B (28/07) - 19:31:00,1:3:1.244,10 laps,31,1:49.981,8,44.288 km/h
