Pos,Start Number,Competitor,Class,Total Time,Diff,Laps,Best Lap,Best Lap No.,Best Speed
1,50,Siem Woldesilassie,A,59:44.655,0.000,29,1:51.594,6,43.648 km/h
2,48,Linus Kloepfer,A,59:45.132,0.477,29,1:55.839,10,42.048 km/h
3,7,Sijmen Kwakkel,B,59:50.963,6.308,29,1:56.395,17,41.847 km/h
4,2,Oskar Loman,B,59:51.900,7.245,29,1:56.390,17,41.849 km/h
5,11,Thomas Vobl,B,59:49.340,1 lap,28,1:57.242,16,41.545 km/h
6,14,Jurn Bezemer,B,59:51.742,1 lap,28,1:59.066,10,40.908 km/h
7,24,Ole Olsthoorn,B,59:52.519,1 lap,28,1:57.530,10,41.443 km/h
8,111,Frezer Netserab,A,1:0:7.869,1 lap,28,1:58.056,10,41.258 km/h
9,180,Sela Zeeman,B,1:1:38.895,4 laps,25,2:7.882,6,38.088 km/h
10,1,Luuk Nijhoff,B,30:0.000,19 laps,10,0.000,-,-
11,92,Esrom Netserab,B,30:0.000,19 laps,10,0.000,-,-
